LOINC_NUM,LONG_COMMON_NAME,reference_fact
30898-1,Plasma volume by Scintigraphy,Test: Plasma volume | System: ^Patient | Units: mL | Info: Total plasma volume determined using Iodine-125 labeled human serum albumin
13591-3,Factor inhibitor XXX [Units/volume] in Platelet poor plasma by Coagulation assay,Test: Factor inhibitor XXX | System: PPP | Units: Bethesda units | Info: 
13610-1,3-Beta-Androstanediol [Mass/volume] in Serum or Plasma,Test: 3-Beta-Androstanediol | System: Ser/Plas | Units: ng/dL | Info: 
13611-9,6-Beta-Hydroxycortisol [Mass/time] in 24 hour Urine,Test: 6-Beta-Hydroxycortisol | System: Urine | Units: ug/24 H | Info: 
13612-7,Dehydroepiandrosterone (DHEA) [Mass/time] in 24 hour Urine,Test: Dehydroepiandrosterone | System: Urine | Units: mg/24 H | Info: 
13613-5,Ethanolamine [Mass/volume] in Cerebral spinal fluid,Test: Ethanolamine | System: CSF | Units: mg/dL | Info: 
13614-3,Etiocholanolone [Mass/volume] in Serum or Plasma,Test: Etiocholanolone | System: Ser/Plas | Units: ng/dL | Info: 
13616-8,Nitrite [Mass/volume] in Water,Test: Nitrite | System: Water | Units: mg/L | Info: 
13618-4,Tetrahydroaldosterone [Mass/time] in 24 hour Urine,Test: Tetrahydroaldosterone | System: Urine | Units: ug/24 H | Info: 
13629-1,Interleukin 1 beta [Mass/volume] in Serum or Plasma,Test: Interleukin 1 beta | System: Ser/Plas | Units: pg/mL | Info: 
13653-1,Epithelial cells.renal [#/volume] in Urine sediment,Test: Epithelial cells.renal | System: Urine sed | Units: /mL | Info: 
13656-4,Phosphate crystals amorphous [#/volume] in Urine sediment,Test: Phosphate crystals.amorphous | System: Urine sed | Units: /mL | Info: 
13657-2,Urate crystals amorphous [#/volume] in Urine sediment,Test: Urate crystals.amorphous | System: Urine sed | Units: /mL | Info: 
13665-5,1-Methylhistidine/Creatinine [Mass Ratio] in Urine,Test: 1-Methylhistidine/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13666-3,Alpha aminoadipate/Creatinine [Mass Ratio] in Urine,Test: Alpha aminoadipate/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13667-1,Alpha aminobutyrate/Creatinine [Mass Ratio] in Urine,Test: Alpha aminobutyrate/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13671-3,Alpha hydroxybutyrate/Creatinine [Mass Ratio] in Urine,Test: Alpha hydroxybutyrate/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13684-6,Beta hydroxybutyrate/Creatinine [Mass Ratio] in Urine,Test: Beta hydroxybutyrate/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13691-1,3-Methylcrotonylglycine/Creatinine [Mass Ratio] in Urine,Test: 3-Methylcrotonylglycine/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13694-5,3-Methylhistidine/Creatinine [Mass Ratio] in Urine,Test: 3-Methylhistidine/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13695-2,Gamma aminobutyrate/Creatinine [Mass Ratio] in Urine,Test: Gamma aminobutyrate/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13699-4,5-Hydroxyhexanoate/Creatinine [Mass Ratio] in Urine,Test: 5-Hydroxyhexanoate/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13700-0,5-Oxoproline/Creatinine [Mass Ratio] in Urine,Test: 5-Oxoproline/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13701-8,Acetoacetate/Creatinine [Mass Ratio] in Urine,Test: Acetoacetate/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13702-6,Aconitate/Creatinine [Mass Ratio] in Urine,Test: Aconitate/Creatinine | System: Urine | Units: g/g creatinine | Info: 
13703-4,Adipate/Creatinine [Mass Ratio] in Urine,Test: Adipate/Creatinine | System: Urine | Units: ug/mg creatinine | Info: 
13706-7,Amylase/Creatinine [Mass Ratio] in Urine,Test: Amylase/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13707-5,Anserine/Creatinine [Mass Ratio] in Urine,Test: Anserine/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13708-3,Arginine/Creatinine [Mass Ratio] in Urine,Test: Arginine/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13709-1,Argininosuccinate/Creatinine [Mass Ratio] in Urine,Test: Argininosuccinate/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13710-9,Asparagine/Creatinine [Mass Ratio] in Urine,Test: Asparagine/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13711-7,Aspartate/Creatinine [Mass Ratio] in Urine,Test: Aspartate/Creatinine | System: Urine | Units: g/g creatinine | Info: 
13715-8,C peptide/Creatinine [Mass Ratio] in 24 hour Urine,Test: C peptide/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13717-4,Calcium/Creatinine [Mass Ratio] in 24 hour Urine,Test: Calcium/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13720-8,Carnosine/Creatinine [Mass Ratio] in Urine,Test: Carnosine/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13721-6,Chloride/Creatinine [Mass Ratio] in 24 hour Urine,Test: Chloride/Creatinine | System: Urine | Units: g/g creatinine | Info: 
13722-4,Citrate/Creatinine [Mass Ratio] in Urine,Test: Citrate/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13725-7,Cystine/Creatinine [Mass Ratio] in Urine,Test: Cystine/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13728-1,Delta aminolevulinate/Creatinine [Mass Ratio] in Urine,Test: Delta aminolevulinate/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13732-3,Dodecanedioate/Creatinine [Mass Ratio] in Urine,Test: Dodecanedioate/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13733-1,DOPamine/Creatinine [Mass Ratio] in Urine,Test: DOPamine/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13734-9,EPINEPHrine/Creatinine [Mass Ratio] in Urine,Test: EPINEPHrine/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13735-6,Epinephrine+Norepinephrine/Creatinine [Mass Ratio] in Urine,Test: Epinephrine+Norepinephrine/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13736-4,Estradiol (E2)/Creatinine [Mass Ratio] in 24 hour Urine,Test: Estradiol/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13737-2,Estriol (E3)/Creatinine [Mass Ratio] in 24 hour Urine,Test: Estriol/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13738-0,Estrogen/Creatinine [Mass Ratio] in 24 hour Urine,Test: Estrogen/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13739-8,Estrone (E1)/Creatinine [Mass Ratio] in 24 hour Urine,Test: Estrone/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13740-6,Ethanolamine/Creatinine [Mass Ratio] in Urine,Test: Ethanolamine/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13744-8,Galactose/Creatinine [Mass Ratio] in Urine,Test: Galactose/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13746-3,Glutamate/Creatinine [Mass Ratio] in Urine,Test: Glutamate/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13747-1,Glutamine/Creatinine [Mass Ratio] in Urine,Test: Glutamine/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13749-7,Glycerate/Creatinine [Mass Ratio] in Urine,Test: Glycerate/Creatinine | System: Urine | Units: ug/mg creatinine | Info: 
13750-5,Glycine/Creatinine [Mass Ratio] in Urine,Test: Glycine/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13751-3,Glycolate/Creatinine [Mass Ratio] in Urine,Test: Glycolate/Creatinine | System: Urine | Units: ug/mg creatinine | Info: 
13753-9,Hexanoylglycine/Creatinine [Mass Ratio] in Urine,Test: Hexanoylglycine/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13755-4,Histamine/Creatinine [Mass Ratio] in Urine,Test: Histamine/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13757-0,Histidine/Creatinine [Mass Ratio] in Urine,Test: Histidine/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13759-6,Homocystine/Creatinine [Mass Ratio] in Urine,Test: Homocystine/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13760-4,Homovanillate/Creatinine [Mass Ratio] in 24 hour Urine,Test: Homovanillate/Creatinine | System: Urine | Units: mcg/mg Cr; mg/g creatinine | Info: 
13763-8,Hydroxyproline/Creatinine [Mass Ratio] in Urine,Test: Hydroxyproline/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13765-3,Isoleucine/Creatinine [Mass Ratio] in Urine,Test: Isoleucine/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13767-9,Lactate/Creatinine [Mass Ratio] in Urine,Test: Lactate/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13768-7,Leucine/Creatinine [Mass Ratio] in Urine,Test: Leucine/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13769-5,Lysine/Creatinine [Mass Ratio] in Urine,Test: Lysine/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13771-1,Metanephrines/Creatinine [Mass Ratio] in Urine,Test: Metanephrines/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13772-9,Methionine/Creatinine [Mass Ratio] in Urine,Test: Methionine/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13775-2,Methylmalonate/Creatinine [Mass Ratio] in 24 hour Urine,Test: Methylmalonate/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13779-4,N-acetyl-L-aspartate/Creatinine [Mass Ratio] in Urine,Test: N-acetyl-L-aspartate/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13781-0,N-methylhistamine/Creatinine [Mass Ratio] in Urine,Test: N-methylhistamine/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13782-8,Norepinephrine/Creatinine [Mass Ratio] in Urine,Test: Norepinephrine/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13783-6,Normetanephrine/Creatinine [Mass Ratio] in Urine,Test: Normetanephrine/Creatinine | System: Urine | Units: ug/g creatinine | Info: 
13786-9,Ornithine/Creatinine [Mass Ratio] in Urine,Test: Ornithine/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13787-7,Orotate/Creatinine [Mass Ratio] in Urine,Test: Orotate/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13789-3,Phosphoethanolamine/Creatinine [Mass Ratio] in Urine,Test: Phosphoethanolamine/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13795-0,Phosphate/Creatinine [Mass Ratio] in 24 hour Urine,Test: Phosphate/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13796-8,Phosphoserine/Creatinine [Mass Ratio] in Urine,Test: Phosphoserine/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13797-6,Porphobilinogen/Creatinine [Mass Ratio] in Urine,Test: Porphobilinogen/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13799-2,Proline/Creatinine [Mass Ratio] in Urine,Test: Proline/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13801-6,Protein/Creatinine [Mass Ratio] in 24 hour Urine,Test: Protein/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13805-7,Pyruvate/Creatinine [Mass Ratio] in Urine,Test: Pyruvate/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13808-1,Serine/Creatinine [Mass Ratio] in Urine,Test: Serine/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13814-9,Taurine/Creatinine [Mass Ratio] in Urine,Test: Taurine/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13815-6,Threonine/Creatinine [Mass Ratio] in Urine,Test: Threonine/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13817-2,Tryptophan/Creatinine [Mass Ratio] in Urine,Test: Tryptophan/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13818-0,Tyrosine/Creatinine [Mass Ratio] in Urine,Test: Tyrosine/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13819-8,Uracil/Creatinine [Mass Ratio] in Urine,Test: Uracil/Creatinine | System: Urine | Units: ng/g creatinine | Info: 
13820-6,Urate/Creatinine [Mass Ratio] in 24 hour Urine,Test: Urate/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13821-4,Urea nitrogen/Creatinine [Mass Ratio] in 24 hour Urine,Test: Urea nitrogen/Creatinine | System: Urine | Units: g/g creatinine | Info: 
13822-2,Valine/Creatinine [Mass Ratio] in Urine,Test: Valine/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
13872-7,11-Deoxycortisol [Mass/time] in 24 hour Urine,Test: 11-Deoxycortisol | System: Urine | Units: ug/24 H | Info: 
13874-3,Alkaline phosphatase.liver 1 [Enzymatic activity/volume] in Serum or Plasma,Test: Alkaline phosphatase.liver 1 | System: Ser/Plas | Units: arb U/L | Info: 
13875-0,Alkaline phosphatase.liver 2 [Enzymatic activity/volume] in Serum or Plasma,Test: Alkaline phosphatase.liver 2 | System: Ser/Plas | Units: arb U/L | Info: 
13881-8,Deoxypyridinoline Free/Creatinine [Molar ratio] in Urine,Test: Deoxypyridinoline.free/Creatinine | System: Urine | Units: nmol/mmol creatinine | Info: 
13882-6,Androstanolone Free/Androstanolone.total in Serum or Plasma,Test: Androstanolone.free/Androstanolone.total | System: Ser/Plas | Units: % | Info: 
13883-4,Estradiol (E2).bioavailable/Estradiol (E2).total in Serum or Plasma,Test: Estradiol.bioavailable/Estradiol.total | System: Ser/Plas | Units: % | Info: 
13884-2,Estradiol (E2).bioavailable [Mass/volume] in Serum or Plasma,Test: Estradiol.bioavailable | System: Ser/Plas | Units: pg/mL | Info: 
13886-7,Lactate dehydrogenase 1/Lactate dehydrogenase.total in Urine by Electrophoresis,Test: Lactate dehydrogenase 1/Lactate dehydrogenase.total | System: Urine | Units: % | Info: 
13887-5,Lactate dehydrogenase 2/Lactate dehydrogenase.total in Urine by Electrophoresis,Test: Lactate dehydrogenase 2/Lactate dehydrogenase.total | System: Urine | Units: % | Info: 
13888-3,Lactate dehydrogenase 3/Lactate dehydrogenase.total in Urine by Electrophoresis,Test: Lactate dehydrogenase 3/Lactate dehydrogenase.total | System: Urine | Units: % | Info: 
13889-1,Lactate dehydrogenase 4/Lactate dehydrogenase.total in Urine by Electrophoresis,Test: Lactate dehydrogenase 4/Lactate dehydrogenase.total | System: Urine | Units: % | Info: 
13890-9,Lactate dehydrogenase 5/Lactate dehydrogenase.total in Urine by Electrophoresis,Test: Lactate dehydrogenase 5/Lactate dehydrogenase.total | System: Urine | Units: % | Info: 
13891-7,Motilin [Mass/volume] in Serum or Plasma,Test: Motilin | System: Ser/Plas | Units: pg/mL | Info: 
13894-1,Pregnenolone [Mass/time] in 24 hour Urine,Test: Pregnenolone | System: Urine | Units: ug/24 H | Info: 
13895-8,Sodium [Moles/volume] in Milk,Test: Sodium | System: Milk | Units: mmol/L | Info: 
13896-6,Insulin-like growth factor-I [Units/volume] in Blood,Test: Insulin-like growth factor-I | System: Bld | Units: arb U/mL | Info: 
